date,1. open,2. high,3. low,4. close,5. volume
2019-12-11 16:00:00,299.05,299.33,298.85,298.86,105152.0
2019-12-11 15:59:00,299.1,299.17,299.05,299.05,29661.0
2019-12-11 15:58:00,299.16,299.27,299.07,299.14,43168.0
2019-12-11 15:57:00,299.15,299.2,299.0897,299.15,24961.0
2019-12-11 15:56:00,299.328,299.43,299.16,299.17,31328.0
2019-12-11 15:55:00,299.11,299.35,299.11,299.27,24947.0
2019-12-11 15:54:00,299.14,299.14,299.02,299.1166,13450.0
2019-12-11 15:53:00,299.1,299.17,299.095,299.14,12211.0
2019-12-11 15:52:00,299.03,299.16,298.94,299.1,23323.0
2019-12-11 15:51:00,299.06,299.07,298.9,299.04,19862.0
2019-12-11 15:50:00,298.8307,298.945,298.8307,298.89,14912.0
2019-12-11 15:49:00,299.0,299.0,298.79,298.82,15760.0
2019-12-11 15:48:00,299.0687,299.1,299.01,299.01,7636.0
2019-12-11 15:47:00,299.1227,299.1227,298.98,299.08,9120.0
2019-12-11 15:46:00,299.0,299.12,298.975,299.095,18743.0
2019-12-11 15:45:00,298.94,299.07,298.93,299.02,28062.0
2019-12-11 15:44:00,298.86,298.945,298.86,298.93,9942.0
2019-12-11 15:43:00,298.78,298.88,298.77,298.85,11886.0
2019-12-11 15:42:00,298.6575,298.8,298.6373,298.8,5832.0
2019-12-11 15:41:00,298.72,298.79,298.655,298.665,4182.0
2019-12-11 15:40:00,298.63,298.71,298.63,298.7005,7828.0
2019-12-11 15:39:00,298.71,298.7562,298.58,298.64,8975.0
2019-12-11 15:38:00,298.76,298.8378,298.66,298.706,9632.0
2019-12-11 15:37:00,298.71,298.82,298.57,298.73,17562.0
2019-12-11 15:36:00,298.706,298.74,298.685,298.735,5125.0
2019-12-11 15:35:00,298.695,298.73,298.695,298.71,3596.0
2019-12-11 15:34:00,298.72,298.77,298.68,298.6959,7618.0
2019-12-11 15:33:00,298.79,298.81,298.705,298.72,5487.0
2019-12-11 15:32:00,298.82,298.86,298.76,298.82,5040.0
2019-12-11 15:31:00,298.65,298.86,298.61,298.86,13627.0
2019-12-11 15:30:00,298.67,298.7,298.655,298.68,1690.0
2019-12-11 15:29:00,298.64,298.746,298.598,298.6718,5906.0
2019-12-11 15:28:00,298.59,298.68,298.58,298.61,4999.0
2019-12-11 15:27:00,298.725,298.75,298.64,298.64,4382.0
2019-12-11 15:26:00,298.6996,298.74,298.61,298.74,7252.0
2019-12-11 15:25:00,298.6,298.7199,298.57,298.5879,3870.0
2019-12-11 15:24:00,298.6,298.7202,298.565,298.6,11074.0
2019-12-11 15:23:00,298.4428,298.59,298.44,298.53,5533.0
2019-12-11 15:22:00,298.58,298.71,298.4466,298.472,12725.0
2019-12-11 15:21:00,298.5175,298.57,298.4758,298.5676,3522.0
2019-12-11 15:20:00,298.3,298.6,298.3,298.51,7833.0
2019-12-11 15:19:00,298.28,298.29,298.21,298.27,11204.0
2019-12-11 15:18:00,298.24,298.32,298.21,298.27,6377.0
2019-12-11 15:17:00,298.27,298.36,298.22,298.25,11563.0
2019-12-11 15:16:00,298.45,298.47,298.25,298.28,9827.0
2019-12-11 15:15:00,298.351,298.53,298.35,298.36,7273.0
2019-12-11 15:14:00,298.49,298.54,298.29,298.32,6882.0
2019-12-11 15:13:00,298.46,298.6,298.43,298.45,8540.0
2019-12-11 15:12:00,298.6,298.66,298.4161,298.445,13297.0
2019-12-11 15:11:00,298.615,298.76,298.55,298.61,7556.0
2019-12-11 15:10:00,298.5,298.61,298.5,298.58,6225.0
2019-12-11 15:09:00,298.645,298.645,298.4067,298.4703,6264.0
2019-12-11 15:08:00,298.64,298.7299,298.6101,298.6101,4476.0
2019-12-11 15:07:00,298.48,298.67,298.48,298.64,7080.0
2019-12-11 15:06:00,298.38,298.4341,298.3459,298.43,8167.0
2019-12-11 15:05:00,298.5,298.53,298.4,298.4,5863.0
2019-12-11 15:04:00,298.45,298.5558,298.435,298.51,4733.0
2019-12-11 15:03:00,298.38,298.45,298.34,298.415,4552.0
2019-12-11 15:02:00,298.4016,298.47,298.395,298.3977,4680.0
2019-12-11 15:01:00,298.41,298.55,298.41,298.43,12330.0
2019-12-11 15:00:00,298.42,298.49,298.3799,298.3799,10474.0
2019-12-11 14:59:00,298.4016,298.5,298.4016,298.46,12554.0
2019-12-11 14:58:00,298.3695,298.47,298.36,298.41,14189.0
2019-12-11 14:57:00,298.3541,298.48,298.345,298.37,13043.0
2019-12-11 14:56:00,298.35,298.41,298.26,298.345,16492.0
2019-12-11 14:55:00,298.24,298.31,298.05,298.31,6946.0
2019-12-11 14:54:00,298.0144,298.39,298.0144,298.215,16447.0
2019-12-11 14:53:00,297.93,298.03,297.93,298.0,3264.0
2019-12-11 14:52:00,298.03,298.08,297.875,297.91,7166.0
2019-12-11 14:51:00,297.87,298.11,297.87,298.1,9540.0
2019-12-11 14:50:00,297.8,297.88,297.8,297.8654,4120.0
2019-12-11 14:49:00,297.8433,297.88,297.72,297.741,4865.0
2019-12-11 14:48:00,297.82,297.86,297.74,297.86,5047.0
2019-12-11 14:47:00,297.555,297.73,297.555,297.73,3813.0
2019-12-11 14:46:00,297.6,297.62,297.47,297.555,6048.0
2019-12-11 14:45:00,297.75,297.774,297.64,297.64,4802.0
2019-12-11 14:44:00,297.89,298.0,297.78,297.7994,10701.0
2019-12-11 14:43:00,297.73,297.85,297.66,297.8373,7991.0
2019-12-11 14:42:00,297.65,297.8,297.65,297.73,12263.0
2019-12-11 14:41:00,297.7299,297.7299,297.48,297.5894,4307.0
2019-12-11 14:40:00,297.77,297.77,297.66,297.6988,0.0
2019-12-11 14:39:00,297.53,297.725,297.48,297.725,8705.0
2019-12-11 14:38:00,297.397,297.57,297.32,297.5,13561.0
2019-12-11 14:37:00,297.4312,297.6595,297.3939,297.4158,8009.0
2019-12-11 14:36:00,297.49,297.53,297.3123,297.3123,3636.0
2019-12-11 14:35:00,297.4,297.4784,297.31,297.4784,5671.0
