date,1. open,2. high,3. low,4. close,5. volume
2019-12-11 16:00:00,1749.65,1750.11,1748.08,1748.91,39835.0
2019-12-11 15:59:00,1749.38,1749.97,1749.34,1749.7275,18064.0
2019-12-11 15:58:00,1749.22,1749.88,1749.08,1749.264,19964.0
2019-12-11 15:57:00,1748.9,1749.29,1748.6,1748.88,12644.0
2019-12-11 15:56:00,1748.785,1749.0,1748.3176,1748.5,16026.0
2019-12-11 15:55:00,1747.99,1749.0,1747.76,1749.0,15944.0
2019-12-11 15:54:00,1748.37,1748.37,1747.74,1747.7853,5283.0
2019-12-11 15:53:00,1748.3199,1748.3199,1747.91,1748.28,5150.0
2019-12-11 15:52:00,1748.05,1748.4,1747.6,1748.34,12283.0
2019-12-11 15:51:00,1746.61,1748.04,1746.61,1748.04,20362.0
2019-12-11 15:50:00,1746.4679,1746.4679,1746.3199,1746.3199,2218.0
2019-12-11 15:49:00,1746.0,1746.45,1745.3199,1746.15,7064.0
2019-12-11 15:48:00,1746.71,1746.83,1746.2211,1746.2211,2304.0
2019-12-11 15:47:00,1746.3101,1746.62,1746.04,1746.62,3147.0
2019-12-11 15:46:00,1747.0,1747.36,1746.71,1746.8237,4958.0
2019-12-11 15:45:00,1746.8378,1747.22,1746.7565,1747.05,5869.0
2019-12-11 15:44:00,1746.72,1747.03,1746.72,1747.0,2251.0
2019-12-11 15:43:00,1747.1,1747.2362,1746.83,1747.0142,4375.0
2019-12-11 15:42:00,1746.4399,1747.1,1746.41,1747.1,4094.0
2019-12-11 15:41:00,1746.77,1746.96,1746.42,1746.42,2908.0
2019-12-11 15:40:00,1746.62,1747.11,1746.5442,1747.11,3886.0
2019-12-11 15:39:00,1746.4,1746.62,1746.325,1746.49,3881.0
2019-12-11 15:38:00,1747.0601,1747.0601,1746.11,1746.3394,1802.0
2019-12-11 15:37:00,1746.8595,1747.11,1746.7455,1746.9,3294.0
2019-12-11 15:36:00,1746.5601,1746.85,1746.16,1746.85,3130.0
2019-12-11 15:35:00,1746.3101,1746.79,1746.3101,1746.46,2463.0
2019-12-11 15:34:00,1746.8101,1747.03,1746.5,1746.75,1798.0
2019-12-11 15:33:00,1746.8199,1747.12,1746.6,1747.0,2229.0
2019-12-11 15:32:00,1747.1058,1747.61,1746.8467,1746.95,5035.0
2019-12-11 15:31:00,1746.755,1747.04,1746.62,1747.04,3013.0
2019-12-11 15:30:00,1747.28,1747.52,1746.8101,1747.0006,4445.0
2019-12-11 15:29:00,1747.86,1748.0,1747.29,1747.63,5167.0
2019-12-11 15:28:00,1747.21,1747.86,1747.21,1747.85,2414.0
2019-12-11 15:27:00,1747.4301,1747.495,1747.235,1747.36,2369.0
2019-12-11 15:26:00,1747.175,1747.45,1747.16,1747.33,3846.0
2019-12-11 15:25:00,1746.97,1747.37,1746.905,1747.155,3492.0
2019-12-11 15:24:00,1746.83,1747.11,1746.5601,1747.04,1583.0
2019-12-11 15:23:00,1746.4464,1746.86,1746.4464,1746.79,2974.0
2019-12-11 15:22:00,1746.4,1746.785,1746.4,1746.48,3598.0
2019-12-11 15:21:00,1746.1523,1746.34,1746.085,1746.215,2676.0
2019-12-11 15:20:00,1745.39,1746.41,1745.39,1746.1263,4250.0
2019-12-11 15:19:00,1745.6899,1745.6899,1745.01,1745.1458,6688.0
2019-12-11 15:18:00,1746.4,1746.4,1745.49,1745.715,10992.0
2019-12-11 15:17:00,1747.05,1747.05,1746.515,1746.55,4041.0
2019-12-11 15:16:00,1747.1462,1747.1462,1746.6899,1747.05,2541.0
2019-12-11 15:15:00,1746.73,1747.38,1746.73,1747.22,3083.0
2019-12-11 15:14:00,1747.3,1747.335,1746.8,1746.83,3448.0
2019-12-11 15:13:00,1748.1,1748.17,1747.3,1747.9399,3727.0
2019-12-11 15:12:00,1748.265,1748.87,1748.0,1748.0,9057.0
2019-12-11 15:11:00,1747.9,1748.29,1747.9,1748.15,3753.0
2019-12-11 15:10:00,1746.8623,1747.9,1746.8623,1747.9,6485.0
2019-12-11 15:09:00,1747.3809,1747.3809,1746.55,1746.55,2322.0
2019-12-11 15:08:00,1747.09,1747.55,1747.0699,1747.3949,2035.0
2019-12-11 15:07:00,1746.4,1747.2,1746.04,1747.0554,5296.0
2019-12-11 15:06:00,1747.39,1747.4,1746.5601,1746.5764,2801.0
2019-12-11 15:05:00,1747.03,1747.285,1746.8,1746.88,3545.0
2019-12-11 15:04:00,1747.24,1747.2601,1746.8101,1746.8101,2967.0
2019-12-11 15:03:00,1746.41,1747.23,1746.41,1747.031,3895.0
2019-12-11 15:02:00,1748.1,1748.4,1746.99,1746.99,5867.0
2019-12-11 15:01:00,1748.15,1748.41,1747.8101,1748.1,3481.0
2019-12-11 15:00:00,1747.23,1748.26,1746.82,1747.7,20493.0
2019-12-11 14:59:00,1747.1261,1747.5,1747.0,1747.0812,5378.0
2019-12-11 14:58:00,1746.99,1747.5,1746.99,1747.035,5518.0
2019-12-11 14:57:00,1746.9128,1747.2,1746.75,1747.04,2597.0
2019-12-11 14:56:00,1746.89,1747.1899,1746.855,1746.9301,2097.0
2019-12-11 14:55:00,1746.5,1746.83,1746.5,1746.5583,1464.0
2019-12-11 14:54:00,1746.2225,1747.5,1746.2225,1746.5249,6879.0
2019-12-11 14:53:00,1745.6083,1746.39,1745.6083,1746.38,1788.0
